Spielname,Genre,Minispiel,Optionalität,UI - Transformation,Belohnungen,Einfluss Minispiel - Belohnung auf Hauptspiel,Auftreten,Wiederholung,Retry,Komplexität,Veränderung der Schwierigkeit,Einsatz,Geforderte(r) Skill(s),Abbruchbarkeit,Unterbricht Hauptspielfluss,Räumliche Einschränkung,Timer,Cooldown
Animal Crossing New Horizons,Simulation,Fischen,ja,keine,"ressourcen, Verkäufliche/eintauschbare Items",ja,frei,nein,nein,gering,konstant,nein,"timing",ja,ja,nein,nein,nein
Animal Crossing New Horizons,Simulation,Gruppengymnastik,ja,leicht,"Verkäufliche/eintauschbare Items, collectibles",nein,frei,ja,ja,gering,konstant,nein,keine,nein,ja,ja,nein,nein
Batman Arkham Knight,"Action, Open World",Remote Hacking Device,nein,mittel,"storyfortschritt, collectibles",nein,häufig,nein,ja,mittel,minispiel_schwieriger,nein,"logik, geschicklichkeit",nein,ja,nein,ja,nein
Bioshock,"Ego-Shooter, Action, Atmosphärisch",Hacking,ja,stark,"spielwährung, ressourcen",ja,häufig,ja,nein,mittel,kontext_situativ,nein,logik,ja,ja,nein,ja,nein
Bioshock Infinite,"Action, Ego-Shooter",Shooting Gallery,ja,keine,spielwährung,ja,selten,ja,ja,gering,konstant,nein,präzision,ja,ja,ja,ja,nein
Bioshock 2,"Action, Ego-Shooter",Hacking,ja,mittel,gameplay-effekt,ja,häufig,ja,nein,gering,kontext_situativ,ja,timing,ja,nein,nein,nein,nein
Chained Echoes,"Rollenspiel, Pixel-Art, JRPG",Fishing,ja,stark,ressourcen,ja,häufig,ja,ja,mittel,minispiel_leichter,ja,"timing,strategie",ja,ja,ja,nein,nein
Chained Echoes,"Rollenspiel, Pixel-Art, JRPG",Rock Paper Scissor,ja,keine,spielwährung,ja,einmalig,ja,ja,gering,konstant,nein,"glück, strategie",ja,ja,ja,nein,nein
Chained Echoes,"Rollenspiel, Pixel-Art, JRPG",Dapple Devour,ja,leicht,spielwährung,ja,einmalig,ja,ja,gering,konstant,ja,"timing,",nein,ja,ja,ja,nein
Chained Echoes,"Rollenspiel, Pixel-Art, JRPG",Tumultuous Turtle Touchdown,ja,leicht,spielwährung,ja,einmalig,ja,ja,gering,konstant,ja,"glück, strategie",nein,ja,ja,nein,nein
Cyberpunk,"Cyberpunk, Open World, Rollenspiel",Hacking,nein,stark,"spielwährung, storyfortschritt",ja,häufig,ja,nein,mittel,minispiel_schwieriger,nein,"timing, strategie, logik",ja,ja,nein,ja,nein
Cyberpunk,"Cyberpunk, Open World, Rollenspiel",Trauma Drama,ja,stark,Verkäufliche/eintauschbare Items,ja,häufig,ja,nein,gering,konstant,nein,geschicklichkeit,ja,ja,ja,nein,nein
Cyberpunk,"Cyberpunk, Open World, Rollenspiel",Roach Race,ja,stark,Verkäufliche/eintauschbare Items,ja,häufig,ja,nein,gering,konstant,nein,"timing, reaktionsgeschwindigkeit",ja,ja,ja,nein,nein
Cyberpunk,"Cyberpunk, Open World, Rollenspiel",Arasaka Tower 3D,ja,stark,Verkäufliche/eintauschbare Items,ja,häufig,ja,nein,gering,konstant,ja,geschicklichkeit,ja,ja,ja,nein,nein
Fallout 4,Open World RPG,Lockpicking,ja,stark,"XP, Verkäufliche/eintauschbare Items",ja,häufig,nein,ja,gering,konstant,nein,geschicklichkeit,ja,ja,nein,nein,nein
Fallout 4,Open World RPG,Hacking,ja,stark,Verkäufliche/eintauschbare Items,ja,häufig,nein,ja,gering,konstant,nein,logik,ja,ja,nein,nein,ja
Fallout 4,Open World RPG,Pipfall,ja,stark,keine,nein,einmalig,ja,ja,mittel,konstant,nein,"geschicklichkeit, timing, strategie",ja,ja,nein,ja,nein
Fallout 4,Open World RPG,Red Menace,ja,stark,keine,nein,einmalig,ja,ja,gering,konstant,nein,"geschicklichkeit, timing, strategie",ja,ja,nein,nein,nein
Fallout 4,Open World RPG,Atomic Command,ja,stark,keine,nein,einmalig,ja,ja,gering,konstant,nein,geschicklichkeit,ja,ja,nein,nein,nein
Fallout 4,Open World RPG,Zeta Invaders,ja,stark,keine,nein,einmalig,ja,ja,gering,konstant,nein,geschicklichkeit,ja,ja,nein,nein,nein
Fallout 4,Open World RPG,Grognak the Barbarian and the Ruby Ruins,ja,stark,keine,nein,einmalig,ja,ja,hoch,konstant,nein,strategie,ja,ja,nein,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Arith Climb,ja,keine,"storyfortschritt, gameplay-effekt",ja,einmalig,nein,nein,gering,konstant,nein,glück,nein,nein,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Reactor Door,nein,keine,storyfortschritt,ja,einmalig,nein,ja,gering,konstant,nein,timing,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Squats,nein,keine,Verkäufliche/eintauschbare Items,ja,einmalig,nein,nein,gering,konstant,nein,timing,nein,ja,ja,ja,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Shinra Building Jump,nein,keine,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,timing,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Stealth,nein,keine,storyfortschritt,nein,einmalig,nein,ja,gering,konstant,nein,timing,nein,ja,ja,nein,nein
Final Fantasy VII,"Abenteuer, Rollenspiel",Bike,nein,stark,storyfortschritt,nein,einmalig,nein,ja,hoch,konstant,nein,"strategie, geschicklichkeit",nein,ja,ja,nein,nein
