Spiel;Genre ;Minispiel;Auftreten
Minecraft;Sandbox;Angeln;Frei
The Witcher 3;Action-Adventure;Gwint;Häufig
The Witcher 3;Action-Adventure;Pferderennen;Häufig
The Witcher 3;Action-Adventure;Faustkampf;Häufig
RDR 2;Action-Adventure;Poker;Häufig
RDR 2;Action-Adventure;Domino;Selten
RDR 2;Action-Adventure;Blackjack;Selten
RDR 2;Action-Adventure;Five Finger Fillet;Selten
RDR 2;Action-Adventure;Angeln;Frei
Silent Hill 2;Survival Horror;Coin Puzzle;Einmalig
Silent Hill 2;Survival Horror;Zahlenkombnation;Häufig
Silent Hill 2;Survival Horror;Armband Puzzle;Einmalig
Silent Hill 2;Survival Horror;X-Ray Puzzle;Einmalig
Silent Hill 2;Survival Horror;Bücher Puzzle;Einmalig
Silent Hill 2;Survival Horror;Generator Puzzle;Einmalig
Silent Hill 2;Survival Horror;Gewichte Puzzle;Einmalig
Silent Hill 2;Survival Horror;Galgen Puzzle;Einmalig
Silent Hill 2;Survival Horror;Spiegel Rätsel;Einmalig
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Einmalig
Genshin Impact;Open World RPG;Angeln;Frei
Genshin Impact;Open World RPG;Genius Invokation TCG;Häufig
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Frei
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Häufig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Häufig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Häufig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Häufig (7)
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Selten (4)
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Selten (4)
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Häufig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Häufig
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Selten (4)
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Häufig (7)
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Häufig (4)
Mafia II;Action-Adventure;Lockpicking;Frei
The Order: 1886;Action-Adventure;Lockpicking;Selten
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Häufig
The Order: 1886;Action-Adventure;Morse Code;Einmalig
Mafia III;Action-Adventure;Lockpulling;Häufig
Fallout 4;Open World RPG;Lockpicking;Häufig
Fallout 4;Open World RPG;Hacking;Häufig
Fallout 4;Open World RPG;Pipfall;Einmalig
Fallout 4;Open World RPG;Red Menace;Einmalig
Fallout 4;Open World RPG;Atomic Command;Einmalig
Fallout 4;Open World RPG;Zeta Invaders;Einmalig
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Einmalig
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Selten
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Einmalig
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Einmalig
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Selten
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Einmalig
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Häufig
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;Selten
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;Einmalig
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;Einmalig
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;Einmalig
Animal Crossing New Horizons;Simulation;Fischen;Frei
Animal Crossing New Horizons;Simulation;Gruppengymnastik;Frei
Resident Evil Village;Survival Horror;Labyrinth Puzzle;Selten
Resident Evil Village;Survival Horror;Musik Box Puzzle;Einmalig
Resident Evil Village;Survival Horror;Film Puzzle;Einmalig
Resident Evil Village;Survival Horror;Schleusentor Puzzle;Einmalig
Resident Evil Village;Survival Horror;Piano Puzzle;Einmalig
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;Selten
Five Nights at Freddy's: Security Breach;Survival Horror;Balloon World;Einmalig
Five Nights at Freddy's: Security Breach;Survival Horror;Monty Golf AR-Arcade;Einmalig
Resident Evil 4 (Remake);Survival Horror;Shooting Range;Häufig
Resident Evil 4 (Remake);Survival Horror;Symbol Schloss Puzzle;Einmalig
Resident Evil 4 (Remake);Survival Horror;Crystal Marble Puzzle;Einmalig
Resident Evil 4 (Remake);Survival Horror;Lake Door Puzzle;Selten
