Spiel;Genre;Minispiel;Belohnungen;
;;;;
Minecraft;Sandbox;Angeln;Items, Consumable;
The Witcher 3;Action-Adventure;Gwint;EP, Währung;
The Witcher 3;Action-Adventure;Pferderennen;EP, Währung, Items;
The Witcher 3;Action-Adventure;Faustkampf;EP, Währung, Items;
RDR 2;Action-Adventure;Poker;Währung;
RDR 2;Action-Adventure;Domino;Währung;
RDR 2;Action-Adventure;Blackjack;Währung;
RDR 2;Action-Adventure;Five Finger Fillet;Währung;
RDR 2;Action-Adventure;Angeln;Consumable;
Silent Hill 2;Survival Horror;Coin Puzzle;Story Progress, Alternatives Ende;
Silent Hill 2;Survival Horror;Zahlenkombnation;Story Progress;
Silent Hill 2;Survival Horror;Armband Puzzle;Story Progress;
Silent Hill 2;Survival Horror;X-Ray Puzzle;Story Progress;
Silent Hill 2;Survival Horror;Bücher Puzzle;Story Progress;
Silent Hill 2;Survival Horror;Generator Puzzle;Story Progress;
Silent Hill 2;Survival Horror;Gewichte Puzzle;Story Progress;
Silent Hill 2;Survival Horror;Galgen Puzzle;Story Progress;
Silent Hill 2;Survival Horror;Spiegel Rätsel;Story Progress;
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Story Progress;
Genshin Impact;Open World RPG;Angeln;Consumable;
Genshin Impact;Open World RPG;Genius Invokation TCG;EP, Währung, Items;
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Währung;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Collectibles, Items;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Collectibles;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Collectibles;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Collectibles, Items;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Collectibles, Items;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Collectibles, Items;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Consumable;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Collectibles, Consumable;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Collectibles;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Collectibles;
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Collectibles;
Mafia II;Action-Adventure;Lockpicking;Items;
The Order: 1886;Action-Adventure;Lockpicking;Story Progress;
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Story Progress;
The Order: 1886;Action-Adventure;Morse Code;Story Progress;
Mafia III;Action-Adventure;Lockpulling;Items;
Fallout 4;Open World RPG;Lockpicking;EP, Items;
Fallout 4;Open World RPG;Hacking;Items;
Fallout 4;Open World RPG;Pipfall;Keine Belohnung;
Fallout 4;Open World RPG;Red Menace;Keine Belohnung;
Fallout 4;Open World RPG;Atomic Command;Keine Belohnung;
Fallout 4;Open World RPG;Zeta Invaders;Keine Belohnung;
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Keine Belohnung;
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Story Progress;
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Upgrades;
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Story Progress;
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Story Progress;
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Story Progress;
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Items, Upgrades;
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;Upgrades;
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;Story Progress;
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;Story Progress;
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;Story Progress;
Animal Crossing New Horizons;Simulation;Fischen;Consumable, Items;
Animal Crossing New Horizons;Simulation;Gruppengymnastik;Items, Collectibles;
Resident Evil Village;Survival Horror;Labyrinth Puzzle;Items;
Resident Evil Village;Survival Horror;Musik Box Puzzle;Story Progress;
Resident Evil Village;Survival Horror;Film Puzzle;Story Progress;
Resident Evil Village;Survival Horror;Schleusentor Puzzle;Story Progress;
Resident Evil Village;Survival Horror;Piano Puzzle;Story Progress;
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;Alternatives Ende;
Five Nights at Freddy's: Security Breach;Survival Horror;Balloon World;Keine Belohnung;
Five Nights at Freddy's: Security Breach;Survival Horror;Monty Golf AR-Arcade;Keine Belohnung;
Resident Evil 4 (Remake);Survival Horror;Shooting Range;Upgrades;
Resident Evil 4 (Remake);Survival Horror;Symbol Schloss Puzzle;Story Progress;
Resident Evil 4 (Remake);Survival Horror;Crystal Marble Puzzle;Story Progress;
Resident Evil 4 (Remake);Survival Horror;Lake Door Puzzle;Story Progress;
Resident Evil 4 (Remake);Survival Horror;Hexagon Puzzle;Items;
Resident Evil 4 (Remake);Survival Horror;Stained Glass Puzzle;Story Progress;
Resident Evil 4 (Remake);Survival Horror;Strom Puzzel;Story Progress;
