Spiel;Genre ;Minispiel;Komplexität
Minecraft;Sandbox;Angeln;Gering
The Witcher 3;Action-Adventure;Gwint;Hoch
The Witcher 3;Action-Adventure;Pferderennen;Gering
The Witcher 3;Action-Adventure;Faustkampf;Gering
RDR 2;Action-Adventure;Poker;Mittel
RDR 2;Action-Adventure;Domino;Mittel
RDR 2;Action-Adventure;Blackjack;Mittel
RDR 2;Action-Adventure;Five Finger Fillet;Gering
RDR 2;Action-Adventure;Angeln;Gering
Silent Hill 2;Survival Horror;Coin Puzzle;Gering
Silent Hill 2;Survival Horror;Zahlenkombnation;Gering
Silent Hill 2;Survival Horror;Armband Puzzle;Gering
Silent Hill 2;Survival Horror;X-Ray Puzzle;Gering
Silent Hill 2;Survival Horror;Bücher Puzzle;Gering
Silent Hill 2;Survival Horror;Generator Puzzle;Gering
Silent Hill 2;Survival Horror;Gewichte Puzzle;Gering
Silent Hill 2;Survival Horror;Galgen Puzzle;Gering
Silent Hill 2;Survival Horror;Spiegel Rätsel;Gering
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Gering
Genshin Impact;Open World RPG;Angeln;Gering
Genshin Impact;Open World RPG;Genius Invokation TCG;Hoch
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Mittel
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Mittel
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Gering
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Gering
Mafia II;Action-Adventure;Lockpicking;Gering
The Order: 1886;Action-Adventure;Lockpicking;Gering
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Gering
The Order: 1886;Action-Adventure;Morse Code;Gering
Mafia III;Action-Adventure;Lockpulling;Gering
Fallout 4;Open World RPG;Lockpicking;Gering
Fallout 4;Open World RPG;Hacking;Gering
Fallout 4;Open World RPG;Pipfall;Mittel
Fallout 4;Open World RPG;Red Menace;Gering
Fallout 4;Open World RPG;Atomic Command;Gering
Fallout 4;Open World RPG;Zeta Invaders;Gering
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Hoch
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Gering
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Gering
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Mittel
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Gering
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Gering
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Gering
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;Gering
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;Gering
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;Gering
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;Mittel
Animal Crossing New Horizons;Simulation;Fischen;Gering
Animal Crossing New Horizons;Simulation;Gruppengymnastik;Gering
Resident Evil Village;Survival Horror;Labyrinth Puzzle;Gering
Resident Evil Village;Survival Horror;Musik Box Puzzle;Gering
Resident Evil Village;Survival Horror;Film Puzzle;Gering
Resident Evil Village;Survival Horror;Schleusentor Puzzle;Gering
Resident Evil Village;Survival Horror;Piano Puzzle;Gering
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;Mittel
Five Nights at Freddy's: Security Breach;Survival Horror;Balloon World;Gering
Five Nights at Freddy's: Security Breach;Survival Horror;Monty Golf AR-Arcade;Gering
Resident Evil 4 (Remake);Survival Horror;Shooting Range;Mittel
Resident Evil 4 (Remake);Survival Horror;Symbol Schloss Puzzle;Gering
Resident Evil 4 (Remake);Survival Horror;Crystal Marble Puzzle;Gering
Resident Evil 4 (Remake);Survival Horror;Lake Door Puzzle;Gering
Resident Evil 4 (Remake);Survival Horror;Hexagon Puzzle;Gering
Resident Evil 4 (Remake);Survival Horror;Stained Glass Puzzle;Gering
Resident Evil 4 (Remake);Survival Horror;Strom Puzzel;Gering
Palia;Simulation;Angeln;Gering
Palia;Simulation;Kochen;Gering
Hogwarts Legacy;Open World RPG;Accio Duell;Mittel
Hogwarts Legacy;Open World RPG;Duelling Club;Gering
Hogwarts Legacy;Open World RPG;Broom Trials;Mittel
Hogwarts Legacy;Open World RPG;Battle Arena;Gering
Hogwarts Legacy;Open World RPG;Alohomora / Lockpicking;Gering
Hogwarts Legacy;Open World RPG;Ballons zerplatzen;Gering
Hogwarts Legacy;Open World RPG;Merlins Prüfungen;Gering
God of War III;Action-Adventure;Pandoras Musik Puzzle;Gering
Resident Evil 3 (Remake);Survival Horror;Schienen Puzzle;Gering
Resident Evil 3 (Remake);Survival Horror;Lab Puzzle;Gering
Silent Hill f;Survival Horror;Altar Rätsel;Gering
Silent Hill f;Survival Horror;Zahlenkombnation;Gering
Silent Hill f;Survival Horror;Geheimkiste Rätsel;Gering
Silent Hill f;Survival Horror;Waage Rätsel;Gering
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Data Diver Upgrade;Gering
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Power Generator;Gering
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Moon.exe;Gering
