Spiel;Genre;Minispiel;Jahr;Einfluss Minispiel Belohnung;Wiederholung;Abbruchbarkeit;Unterbricht Hauptspielfluss;Räumliche Einschränlung;Einsatz;Timer ;Cooldown;Retry
Minecraft;Sandbox;Angeln;2011;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein
The Witcher 3;Action-Adventure;Gwint;2015;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja
The Witcher 3;Action-Adventure;Pferderennen;2015;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja
The Witcher 3;Action-Adventure;Faustkampf;2015;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja
RDR 2;Action-Adventure;Poker;2018;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja
RDR 2;Action-Adventure;Domino;2018;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja
RDR 2;Action-Adventure;BlackJack;2018;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja
RDR 2;Action-Adventure;Five Finger Fillet;2018;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja
RDR 2;Action-Adventure;Angeln;2018;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein
Silent Hill 2;Survival Horror;Coin Puzzle;2024;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Zahlenkombnation;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Armband Puzzle;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;X-Ray Puzzle;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Bücher Puzzle;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Generator Puzzle;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Gewichte Puzzle;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Galgen Puzzle;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Spiegel Rätsel;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Silent Hill 2;Survival Horror;Spieluhr Rätsel;2024;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Genshin Impact;Open World RPG;Angeln;2020;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein
Genshin Impact;Open World RPG;Genius Invokation TCG;2020;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;2020;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;2005;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;2005;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;2005;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;2005;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;2005;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;2005;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;2005;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;2005;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;2005;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;2005;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;2005;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja
Mafia II;Action-Adventure;Lockpicking;2010;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja
The Order: 1886;Action-Adventure;Lockpicking;2015;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);2015;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja
The Order: 1886;Action-Adventure;Morse Code;2015;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Mafia III;Action-Adventure;Lockpulling;2016;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja
Fallout 4;Open World RPG;Lockpicking;2015;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Fallout 4;Open World RPG;Hacking;2015;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Ja
Fallout 4;Open World RPG;Pipfall;2015;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja
Fallout 4;Open World RPG;Red Menace;2015;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Fallout 4;Open World RPG;Atomic Command;2015;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Fallout 4;Open World RPG;Zeta Invaders;2015;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;2015;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;2017;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";2017;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;2017;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;2019;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;2019;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;2019;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;2019;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;2019;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;2019;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;2019;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Animal Crossing New Horizons;Simulation;Fischen;2020;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein
Animal Crossing New Horizons;Simulation;Gruppengymnastik;2020;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil Village;Survival Horror;Labyrinth Puzzle;2021;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil Village;Survival Horror;Musik Box Puzzle;2021;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil Village;Survival Horror;Film Puzzle;2021;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil Village;Survival Horror;Schleusentor Puzzle;2021;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Resident Evil Village;Survival Horror;Piano Puzzle;2021;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;2021;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja
