Spiel;Genre ;Minispiel;UI-Transformation
Minecraft;Sandbox;Angeln;Keine
The Witcher 3;Action-Adventure;Gwint;Stark
The Witcher 3;Action-Adventure;Pferderennen;Leicht
The Witcher 3;Action-Adventure;Faustkampf;Leicht
RDR 2;Action-Adventure;Poker;Mittel
RDR 2;Action-Adventure;Domino;Mittel
RDR 2;Action-Adventure;Blackjack;Mittel
RDR 2;Action-Adventure;Five Finger Fillet;Mittel
RDR 2;Action-Adventure;Angeln;Leicht
Silent Hill 2;Survival Horror;Coin Puzzle;Stark
Silent Hill 2;Survival Horror;Zahlenkombnation;Stark
Silent Hill 2;Survival Horror;Armband Puzzle;Mittel
Silent Hill 2;Survival Horror;X-Ray Puzzle;Stark
Silent Hill 2;Survival Horror;Bücher Puzzle;Stark
Silent Hill 2;Survival Horror;Generator Puzzle;Stark
Silent Hill 2;Survival Horror;Gewichte Puzzle;Stark
Silent Hill 2;Survival Horror;Galgen Puzzle;Stark
Silent Hill 2;Survival Horror;Spiegel Rätsel;Mittel
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Stark
Genshin Impact;Open World RPG;Angeln;Leicht
Genshin Impact;Open World RPG;Genius Invokation TCG;Stark
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Mittel
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Leicht
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Stark
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Stark
Mafia II;Action-Adventure;Lockpicking;Leicht
The Order: 1886;Action-Adventure;Lockpicking;Mittel
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Mittel
The Order: 1886;Action-Adventure;Morse Code;Stark
Mafia III;Action-Adventure;Lockpulling;Leicht
Fallout 4;Open World RPG;Lockpicking;Stark
Fallout 4;Open World RPG;Hacking;Stark
Fallout 4;Open World RPG;Pipfall;Stark
Fallout 4;Open World RPG;Red Menace;Stark
Fallout 4;Open World RPG;Atomic Command;Stark
Fallout 4;Open World RPG;Zeta Invaders;Stark
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Stark
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Mittel
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Mittel
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Keine
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Mittel
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Stark
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Stark
