Spiel;Genre ;Minispiel;"Veränderung der Schwierigkeit"
Minecraft;Sandbox;Angeln;Kontext: Leichter 
The Witcher 3;Action-Adventure;Gwint;Konstant
The Witcher 3;Action-Adventure;Pferderennen;Konstant
The Witcher 3;Action-Adventure;Faustkampf;Konstant
RDR 2;Action-Adventure;Poker;Kontext: Leichter 
RDR 2;Action-Adventure;Domino;Konstant
RDR 2;Action-Adventure;Blackjack;Konstant
RDR 2;Action-Adventure;Five Finger Fillet;Konstant
RDR 2;Action-Adventure;Angeln;Konstant
Silent Hill 2;Survival Horror;Coin Puzzle;Konstant
Silent Hill 2;Survival Horror;Zahlenkombnation;Konstant
Silent Hill 2;Survival Horror;Armband Puzzle;Konstant
Silent Hill 2;Survival Horror;X-Ray Puzzle;Konstant
Silent Hill 2;Survival Horror;Bücher Puzzle;Konstant
Silent Hill 2;Survival Horror;Generator Puzzle;Konstant
Silent Hill 2;Survival Horror;Gewichte Puzzle;Konstant
Silent Hill 2;Survival Horror;Galgen Puzzle;Konstant
Silent Hill 2;Survival Horror;Spiegel Rätsel;Konstant
Silent Hill 2;Survival Horror;Spieluhr Rätsel;Konstant
Genshin Impact;Open World RPG;Angeln;Kontext: Leichter 
Genshin Impact;Open World RPG;Genius Invokation TCG;Konstant
Genshin Impact;Open World RPG;Repertoire of Myriad Melodies;Minispiel: Schwieriger
Harry Potter und der Halbblut-Prinz;Action-Adventure;Wizard Skittles;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Quidditch Variation;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Gobstones;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Jack Stone;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Snake Pit;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Potions;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Minispiel: Schwieriger
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Konstant
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Konstant
Mafia II;Action-Adventure;Lockpicking;Minispiel: Schwieriger
The Order: 1886;Action-Adventure;Lockpicking;Konstant
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Konstant
The Order: 1886;Action-Adventure;Morse Code;Konstant
Mafia III;Action-Adventure;Lockpulling;Konstant
Fallout 4;Open World RPG;Lockpicking;Konstant
Fallout 4;Open World RPG;Hacking;Konstant
Fallout 4;Open World RPG;Pipfall;Konstant
Fallout 4;Open World RPG;Red Menace;Konstant
Fallout 4;Open World RPG;Atomic Command;Konstant
Fallout 4;Open World RPG;Zeta Invaders;Konstant
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Konstant
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Konstant
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Konstant
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Konstant
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Konstant
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Konstant
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Konstant
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;Konstant
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;Konstant
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;Konstant
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;Konstant
Animal Crossing New Horizons;Simulation;Fischen;Kontext: Leichter
Animal Crossing New Horizons;Simulation;Gruppengymnastik;Konstant
Resident Evil Village;Survival Horror;Labyrinth Puzzle;Konstant
Resident Evil Village;Survival Horror;Musik Box Puzzle;Konstant
Resident Evil Village;Survival Horror;Film Puzzle;Konstant
Resident Evil Village;Survival Horror;Schleusentor Puzzle;Konstant
Resident Evil Village;Survival Horror;Piano Puzzle;Konstant
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;Konstant
Five Nights at Freddy's: Security Breach;Survival Horror;Balloon World;Konstant
Five Nights at Freddy's: Security Breach;Survival Horror;Monty Golf AR-Arcade;Konstant
Resident Evil 4 (Remake);Survival Horror;Shooting Range;Konstant
Resident Evil 4 (Remake);Survival Horror;Symbol Schloss Puzzle;Konstant
Resident Evil 4 (Remake);Survival Horror;Crystal Marble Puzzle;Konstant
Resident Evil 4 (Remake);Survival Horror;Lake Door Puzzle;Konstant
Resident Evil 4 (Remake);Survival Horror;Hexagon Puzzle;Konstant
Resident Evil 4 (Remake);Survival Horror;Stained Glass Puzzle;Konstant
Resident Evil 4 (Remake);Survival Horror;Strom Puzzel;Konstant
Palia;Simulation;Angeln;Kontext: Leichter
Palia;Simulation;Kochen;Minispiel: Schwieriger
Hogwarts Legacy;Open World RPG;Accio Duell;Minispiel: Schwieriger
Hogwarts Legacy;Open World RPG;Duelling Club;Konstant
Hogwarts Legacy;Open World RPG;Broom Trials;Kontant
Hogwarts Legacy;Open World RPG;Battle Arena;Konstant
Hogwarts Legacy;Open World RPG;Alohomora / Lockpicking;Konstant
Hogwarts Legacy;Open World RPG;Ballons zerplatzen;Konstant
Hogwarts Legacy;Open World RPG;Merlins Prüfungen;Konstant
God of War III;Action-Adventure;Pandoras Musik Puzzle;Konstant
Resident Evil 3 (Remake);Survival Horror;Schienen Puzzle;Konstant
Resident Evil 3 (Remake);Survival Horror;Lab Puzzle;Konstant
Silent Hill f;Survival Horror;Altar Rätsel;Konstant
Silent Hill f;Survival Horror;Zahlenkombnation;Konstant
Silent Hill f;Survival Horror;Geheimkiste Rätsel;Konstant
Silent Hill f;Survival Horror;Waage Rätsel;Konstant
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Data Diver Upgrade;Konstant
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Power Generator;Konstant
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Moon.exe;Konstant
